Floor,Room,Item,Description,Quantity,Unit,UnitPrice,OandP,Taxes,TotalCost,Note
1st floor,General Items,1,"Dumpster, 10 Yard",1,EA,532.15,106.44,31.93,670.52,
1st floor,General Items,2,HVACi Report Boiler System Replacement Quote,1,EA,30875.41,6175.08,0.00,37050.49,
1st floor,General Items,3,"Bid Item, Electrical",1,EA,0.00,0.00,0.00,0.00,Open Item for possible code related electrical rewiring needed following city inspection
1st floor,General Items,4,Permits & Fees,1,LS,0.00,0.00,0.00,0.00,Open item for building permits needed
1st floor,Living Room,5,"Rem/Reset - Content Manipulation, Greater Than 300 SF, Per Room",1,RM,263.43,52.68,0.00,316.11,
1st floor,Living Room,6,"Rem/Reset - Base Shoe, Stain Grade",58.25,LF,3.06,35.66,0.07,213.98,
1st floor,Living Room,7,"Stain & Finish - Base Molding, Up to 6""",58.25,LF,4.09,47.66,0.94,286.85,
1st floor,Living Room,8,Stain & Finish - Base Shoe,58.25,LF,2.28,26.56,0.49,159.87,
1st floor,Living Room,9,"Tear Out - Wood Floor, Oak, 2-1/4"", #1 Common",303.50,SF,1.77,107.44,0.00,644.64,
1st floor,Living Room,10,"Replace - Wood Floor, Oak, 2-1/4"", #1 Common",333.85,SF,12.06,805.24,95.95,4927.42,Includes 10% waste on quantity
1st floor,Living Room,11,"Sand, Stain, & Finish, Wood Floor, Polyurethane, 2 Coats, Stain, 1 Coat, Dustless",303.50,SF,9.21,559.04,18.57,3372.85,
1st floor,Living Room,12,"Tear Out - Wood Floor, Underlayment, Felt",303.50,SF,0.11,6.68,0.00,40.07,
1st floor,Living Room,13,"Replace - Wood Floor, Underlayment, Felt",333.85,SF,0.47,31.38,2.40,190.69,Includes 10% waste on quantity
1st floor,Living Room,14,"Clean - Final Clean, Per SF",307.70,SF,0.52,32.00,0.92,192.93,
1st floor,Living Room,15,"Rem/Reset - Blinds, Window/Door, Vertical, Vinyl",90.23,SF,4.13,74.54,0.00,447.19,
1st floor,Living Room,16,"Add-on, Diagonal Installation, Wood Floor",333.85,SF,2.08,138.88,0.00,833.29,Includes 10% waste on quantity
1st floor,Living Room,17,"Rem/Reset - Crown Molding, Stain Grade, Over 6""",78.16,LF,6.49,101.46,0.23,608.95,
1st floor,Living Room,18,"Stain & Finish - Crown Molding, Over 6""",78.16,LF,5.11,79.88,3.94,483.21,
1st floor,Living Room,19,"Replace - Lath, Wood, Ceilings",52.50,SF,4.07,42.74,6.55,262.97,Includes 5% waste on quantity
1st floor,Living Room,20,"Replace - Plaster, 3 Coats, w/o Lath, Ceilings",51.00,SF,7.80,79.56,3.92,481.28,Includes 2% waste on quantity
1st floor,Living Room,21,"Replace - Lath, Wood, Walls",68.25,SF,3.69,50.36,8.52,310.72,Includes 5% waste on quantity
